actor_name,movie_id,release_year,title
Claude Dauphin,8069,1968,Barbarella
Naoto Takenaka,20083,2009,Shinjuku Incident
Sheryl Crow,13518,2008,Fuel
Sheryl Crow,159014,2013,20 Feet from Stardom
Rebecca Ferguson,177677,2015,Mission: Impossible - Rogue Nation
Rebecca Ferguson,315664,2016,Florence Foster Jenkins
James Thornton,125123,1998,Among Giants
Patrick St. Esprit,332411,2016,I Am Wrath
Angus Scrimm,15158,1988,Phantasm II
Dyan Cannon,13982,1997,8 Heads in a Duffel Bag
Dyan Cannon,55831,2005,Boynton Beach Club
Oliver Maltman,44009,2010,Another Year
Matt Stone,3989,2004,Team America: World Police
Matt Stone,8675,1997,Orgazmo
Matt Stone,9473,1999,"South Park: Bigger, Longer & Uncut"
Julia Chantrey,345003,2015,10 Days in a Madhouse
Keir O'Donnell,14560,2009,Paul Blart: Mall Cop
Harry Lennix,1677,2004,Ray
Harry Lennix,8080,2004,Suspect Zero
Harry Lennix,357834,2015,The Algerian
Enver Gjokaj,44113,2010,Stone
Gerard McSorley,10629,2003,Veronica Guerin
Gerard McSorley,47692,1999,Felicia's Journey
Douglas Smith,76285,2013,Percy Jackson: Sea of Monsters
Douglas Smith,166624,2013,Treading Water
Douglas Smith,242512,2014,Ouija
Julius Harris,253,1973,Live and Let Die
Julius Harris,91721,1964,Nothing But a Man
Ivor Francis,77156,1978,Alien Zone
Julian Gamble,289180,2014,H.
Abigail Chu,37707,2009,Splice
Belén Rueda,1913,2004,The Sea Inside
Belén Rueda,6537,2007,The Orphanage
Steve Diasparra,360188,2015,Queen Crab
Joshua Cox,18405,2009,The Last House on the Left
Anna Hoelck,10996,2002,Stuart Little 2
Kim Poirier,18442,2004,Decoys
Theodore Liscinski,13403,2001,Hedwig and the Angry Inch
Ben Garant,10090,2007,Reno 911!: Miami
Alex Kingston,60420,2011,Like Crazy
Didi Conn,621,1978,Grease
Juliet Stevenson,45791,2007,When Did You Last See Your Father?
Juliet Stevenson,361475,2016,Departure
Lee Majors,10071,2007,The Brothers Solomon
Lee Majors,14369,2001,Out Cold
Fernando Rey,1051,1971,The French Connection
Kesun Loder,10288,2006,Fido
Hank Azaria,35,2007,The Simpsons Movie
Hank Azaria,7942,2007,"Run, Fatboy, Run"
Hank Azaria,9444,1997,Anastasia
Hank Azaria,9824,1999,Mystery Men
Hank Azaria,11467,2001,America's Sweethearts
Hank Azaria,15198,1999,"Mystery, Alaska"
Hank Azaria,16358,2004,Eulogy
Hank Azaria,18360,2009,Night at the Museum: Battle of the Smithsonian
Hank Azaria,32274,1999,Cradle Will Rock
Hank Azaria,41513,2011,The Smurfs
Hank Azaria,43347,2010,Love & Other Drugs
Hank Azaria,50359,2011,Hop
Hank Azaria,77931,2013,The Smurfs 2
Pam Grier,184,1997,Jackie Brown
Pam Grier,10016,2001,Ghosts of Mars
Pam Grier,10061,1996,Escape from L.A.
Pam Grier,15489,2000,Snow Day
Pam Grier,18892,1999,Jawbreaker
Pam Grier,59861,2011,Larry Crowne
Philip Chan Yan-Kin,9594,1991,Double Impact
Philip Chan Yan-Kin,11690,1988,Bloodsport
Philippe Nahon,979,2002,Irreversible
Philippe Nahon,10226,2003,High Tension
Philippe Nahon,10800,2008,Dragon Hunters
Richa Pallod,46415,2005,Neal 'n' Nikki
Ben Diskin,294512,2014,Alpha and Omega: The Legend of the Saw Tooth Cave
Martin Short,17834,1997,A Simple Wish
Martin Short,62214,2012,Frankenweenie
Paul Bettany,453,2001,A Beautiful Mind
Paul Bettany,591,2006,The Da Vinci Code
Paul Bettany,2309,2008,Inkheart
Paul Bettany,8619,2003,Master and Commander: The Far Side of the World
Paul Bettany,9476,2001,A Knight's Tale
Paul Bettany,9754,2006,Firewall
Paul Bettany,11823,2004,Wimbledon
Paul Bettany,17044,1998,The Land Girls
Paul Bettany,18320,2009,The Young Victoria
Paul Bettany,22894,2010,Legion
Paul Bettany,24985,2002,The Heart of Me
Paul Bettany,37710,2010,The Tourist
Paul Bettany,38321,2011,Priest
Paul Bettany,50839,2011,Margin Call
Paul Bettany,157353,2014,Transcendence
Paul Bettany,210860,2015,Mortdecai
Paolo Bonacelli,27579,2010,The American
Tinarie Van Wyk-Loots,185567,2013,Zulu
Alan Webb,11583,1979,The First Great Train Robbery
Robert Rusler,10014,1985,A Nightmare on Elm Street Part 2: Freddy's Revenge
Roxane Mesquida,45649,2010,Rubber
George Chakiris,1725,1961,West Side Story
Frances Bay,9614,1996,Happy Gilmore
Natalie Dreyfuss,335874,2015,Childless
Maggie Wheeler,239897,2014,Dwegons
Roger Príncep,6537,2007,The Orphanage
Lindsay Torrance,294512,2014,Alpha and Omega: The Legend of the Saw Tooth Cave
Jane Wyman,28580,1945,The Lost Weekend
Vanessa Angel,11543,1996,Kingpin
Vanessa Angel,31117,2004,Superbabies: Baby Geniuses 2
Katy Murphy,8981,2004,Dear Frankie
Eli Marienthal,10386,1999,The Iron Giant
Eli Marienthal,14662,1998,Slums of Beverly Hills
Dianne Wiest,162,1990,Edward Scissorhands
Dianne Wiest,547,1998,The Horse Whisperer
Dianne Wiest,1547,1987,The Lost Boys
Dianne Wiest,1788,1984,Footloose
Dianne Wiest,10950,2001,I Am Sam
Dianne Wiest,11382,1994,Bullets Over Broadway
Dianne Wiest,17170,1988,"Bright Lights, Big City"
Dianne Wiest,27585,2010,Rabbit Hole
Dianne Wiest,89325,2012,Darling Companion
Meghan Ory,18442,2004,Decoys
Alex Roe,299687,2016,The 5th Wave
Sarah Jane Morris,11321,2008,Seven Pounds
Dan Zukovic,55180,1998,The Last Big Thing
Eddie Mills,78373,1998,"Dancer, Texas Pop. 81"
Donatas Banionis,593,1972,Solaris
Wilmer Valderrama,18147,2006,Unaccompanied Minors
Gary Cooper,288,1952,High Noon
Gary Cooper,22649,1932,A Farewell to Arms
Lee Eun-ju,11658,2004,Tae Guk Gi: The Brotherhood of War
Ryan Pinkston,15544,2008,Extreme Movie
Sarah Carter,9053,2006,DOA: Dead or Alive
Stephen Russell,30973,2003,The Visual Bible: The Gospel of John
Jimmy Shergill,26022,2010,My Name Is Khan
Jimmy Shergill,281730,2014,Fugly
Walter Pidgeon,43266,1941,How Green Was My Valley
Giovanni Capalbo,241766,2014,Lords of London
Max Irons,49730,2011,Red Riding Hood
Max Irons,304357,2015,Woman in Gold
John Cameron Mitchell,13403,2001,Hedwig and the Angry Inch
Julianne Hough,42297,2010,Burlesque
Julianne Hough,80585,2012,Rock of Ages
Julianne Hough,112949,2013,Safe Haven
Julianne Hough,291870,2016,Dirty Grandpa
Kenneth Welsh,8643,2005,The Exorcism of Emily Rose
Kenneth Welsh,14292,2004,Miracle
Kenneth Welsh,29426,2010,Survival of the Dead
Simon Abkarian,2011,2007,Persepolis
Simon Abkarian,11956,1996,When the Cat's Away
Simon Abkarian,16351,2002,Ararat
Simon Abkarian,25312,2005,Yes
Nikolai Sotirov,252360,2013,In the Name of the King III
Shari Headley,19084,2004,Johnson Family Vacation
Jeremy Hunter,29595,2005,Wal-Mart: The High Cost of Low Price
Gil Bellows,9092,1997,Snow White: A Tale of Terror
Gil Bellows,82505,2012,House at the End of the Street
Gil Bellows,283384,2014,The Calling
Millard Mitchell,872,1952,Singin' in the Rain
Matt Lanter,13805,2008,Disaster Movie
Matt Lanter,40264,2010,Vampires Suck
Matt Lanter,49950,2011,The Roommate
Marcel Bozzuffi,1051,1971,The French Connection
Lisa Henni,29920,2010,Easy Money
Mik Scriba,36549,2008,Yesterday Was a Lie
Lyriq Bent,663,2007,Saw IV
Rachel Dratch,84401,2012,Sholem Aleichem: Laughing In The Darkness
Bill Buell,5178,2009,The Good Heart
Reba McEntire,9362,1990,Tremors
Arthur O'Connell,248,1961,Pocketful of Miracles
Michael Cera,7326,2007,Juno
Michael Cera,8363,2007,Superbad
Michael Cera,12182,2008,Nick and Norah's Infinite Playlist
Michael Cera,15544,2008,Extreme Movie
Michael Cera,17610,2009,Year One
Michael Cera,22327,2009,Youth in Revolt
Michael Cera,22538,2010,Scott Pilgrim vs. the World
Michael Cera,223702,2016,Sausage Party
Paul Briganti,248774,2014,Obvious Child
Miguel Castro,10691,2001,Crazy/Beautiful
Kate Lynch,42033,1985,Def-Con 4
Austin Stowell,244786,2014,Whiplash
Keene McRae,228970,2014,Wild
Robert Forster,184,1997,Jackie Brown
Robert Forster,2123,2000,"Me, Myself & Irene"
Robert Forster,9570,1979,The Black Hole
Robert Forster,10253,2007,Dragon Wars: D-War
Robert Forster,10384,2000,Supernova
Robert Forster,16433,2003,Grand Theft Parsons
Robert Forster,65057,2011,The Descendants
Robert Forster,262543,2014,Automata
Robert Forster,334074,2015,Survivor
Harry Connick Jr.,1710,1995,Copycat
Harry Connick Jr.,6023,2007,P.S. I Love You
Harry Connick Jr.,9715,1998,Hope Floats
Harry Connick Jr.,10386,1999,The Iron Giant
Harry Connick Jr.,14536,2009,New in Town
Harry Connick Jr.,62837,2011,Dolphin Tale
Harry Connick Jr.,227735,2014,Dolphin Tale 2
Jim Gaffigan,43653,2007,The Living Wake
Jonathan Alpert,44639,2010,Inside Job
Jim Belushi,586,1997,Wag the Dog
Jim Belushi,1621,1983,Trading Places
Jim Belushi,2621,2000,Return to Me
Jim Belushi,6106,1986,Salvador
Jim Belushi,10982,2005,Hoodwinked!
Jim Belushi,11888,2002,Snow Dogs
Jim Belushi,12312,2001,Joe Somebody
Jim Belushi,12486,2006,Farce of the Penguins
Jim Belushi,59981,2013,Legends of Oz: Dorothy's Return
Amy Ryan,3580,2008,Changeling
Amy Ryan,22972,2010,Green Zone
Amy Ryan,35219,2009,The Missing Person
Amy Ryan,257445,2015,Goosebumps
Amy Ryan,296098,2015,Bridge of Spies
Amy Ryan,302699,2016,Central Intelligence
Sheila Hancock,47452,1997,Love and Death on Long Island
Paulette Goddard,3082,1936,Modern Times
John Pyper-Ferguson,290555,2014,Wolves
Brian Blessed,10705,1989,Henry V
Brian Blessed,72197,2012,The Pirates! In an Adventure with Scientists!
Moses Jacob Storm,277685,2015,Unfriended
Franky G,215,2005,Saw II
Franky G,185465,2002,Manito
Ron Paul,18480,2009,Brüno
Conrad Kemp,185567,2013,Zulu
Ja Rule,10167,2002,Half Past Dead
Ja Rule,18475,2004,The Cookout
Brady Corbet,8461,2007,Funny Games
Brady Corbet,11023,2003,Thirteen
Brady Corbet,14623,2004,Thunderbirds
Brady Corbet,50837,2011,Martha Marcy May Marlene
Brady Corbet,244776,2014,The Sleepwalker
Brady Corbet,255343,2014,Escobar: Paradise Lost
Aaron Abrams,14914,2008,Flash of Genius
Arif Zakaria,7504,1998,Earth
Cheyenne Jackson,198370,2014,Mutual Friends
Gavin Rossdale,29078,2005,The Game of Their Lives
Olivia Ballantyne,25786,2004,Samantha: An American Girl Holiday
Rebecca Dayan,289180,2014,H.
Graham Chapman,762,1975,Monty Python and the Holy Grail
Cheryl Tiegs,12703,2004,The Brown Bunny
Carly Schroeder,9754,2006,Firewall
Carly Schroeder,15568,2007,Gracie
Carly Schroeder,27588,2009,Forget Me Not
Carly Schroeder,46849,2007,Eye of the Dolphin
Sophia Taylor Ali,312793,2015,The Walking Deceased
Karyn Parsons,16888,2000,The Ladies Man
Heather Matarazzo,1691,2007,Hostel: Part II
Heather Matarazzo,9880,2001,The Princess Diaries
Heather Matarazzo,11130,2004,The Princess Diaries 2: Royal Engagement
Heather Matarazzo,11446,1995,Welcome to the Dollhouse
Heather Matarazzo,13193,2004,Saved!
Kim Dickens,8838,1998,Mercury Rising
Kim Dickens,9383,2000,Hollow Man
Kim Dickens,11093,2003,House of Sand and Fog
Kim Dickens,16148,1998,Zero Effect
Aloma Wright,53862,1999,Trippin'
Ron Haddrick,9588,1990,Quigley Down Under
Angelina Idnani,14165,2007,Ta Ra Rum Pum
Joseph Maher,47941,1981,Under the Rainbow
Robert MacNaughton,601,1982,E.T. the Extra-Terrestrial
Shawn Yue,44092,2010,Reign of Assassins
Michael Imperioli,26710,2004,My Baby's Daddy
Michael Imperioli,158011,2013,The Call
Alexander Hörbe,53256,2010,Three
Aaron Stanford,9792,2006,The Hills Have Eyes
Aaron Stanford,39141,2002,Tadpole
Deborah Rush,9962,2002,The Good Girl
James Doohan,152,1979,Star Trek: The Motion Picture
James Doohan,154,1982,Star Trek II: The Wrath of Khan
James Doohan,157,1984,Star Trek III: The Search for Spock
James Doohan,168,1986,Star Trek IV: The Voyage Home
James Doohan,172,1989,Star Trek V: The Final Frontier
James Doohan,174,1991,Star Trek VI: The Undiscovered Country
James Doohan,15800,1997,Trekkies
Harvey Stephens,794,1976,The Omen
Jay Brannan,1378,2006,Shortbus
Matt Lucas,95755,2012,Small Apartments
Steve Zissis,5759,2008,Baghead
Karen Black,2662,2003,House of 1000 Corpses
Karen Black,5854,1976,Family Plot
Karen Black,31909,1986,Invaders from Mars
Karen Black,80468,2011,Some Guy Who Kills People
Patti D'Arbanville,16471,1981,Modern Problems
John Brumpton,46420,2009,The Loved Ones
Michael Hitchcock,13785,2000,Best in Show
Michael Hitchcock,16448,1996,Waiting for Guffman
Cesar Ramos,4170,2007,Trade
Jameson Thomas,3078,1934,It Happened One Night
Loren Dean,24071,1999,Mumford
Loren Dean,40001,1996,Mrs. Winterbourne
Olivia de Havilland,770,1939,Gone with the Wind
Olivia de Havilland,43884,1936,The Charge of the Light Brigade
Caity Lotz,109417,2013,Battle of the Year
Neil Maskell,12109,2004,It's All Gone Pete Tong
Neil Maskell,74725,2011,Kill List
Emil Marwa,2577,2003,Code 46
Kelley Menighan Hensley,176074,2015,Reality Show
Ryan Reynolds,2080,2009,X-Men Origins: Wolverine
Ryan Reynolds,7516,2006,Smokin' Aces
Ryan Reynolds,7553,2005,Waiting...
Ryan Reynolds,8390,2008,"Definitely, Maybe"
Ryan Reynolds,10065,2005,The Amityville Horror
Ryan Reynolds,11452,2002,National Lampoon’s Van Wilder
Ryan Reynolds,18240,2009,The Proposal
Ryan Reynolds,26388,2010,Buried
Ryan Reynolds,36648,2004,Blade: Trinity
Ryan Reynolds,44912,2011,Green Lantern
Ryan Reynolds,49519,2013,The Croods
Ryan Reynolds,49520,2011,The Change-Up
Ryan Reynolds,49524,2013,R.I.P.D.
Ryan Reynolds,59961,2012,Safe House
Ryan Reynolds,77950,2013,Turbo
Ryan Reynolds,238615,2015,Self/less
Ryan Reynolds,293660,2016,Deadpool
Ryan Reynolds,302156,2016,Criminal
Ryan Reynolds,304357,2015,Woman in Gold
Francesco Quinn,79587,2009,Four Single Fathers
Ed Begley,4929,1968,Hang 'em High
Ed Begley,36334,1952,Deadline - U.S.A.
Moazzam Begg,13362,2007,Taxi to the Dark Side
John Michael Higgins,2698,2007,Evan Almighty
John Michael Higgins,13370,2003,A Mighty Wind
John Michael Higgins,14799,2006,For Your Consideration
Lori Heuring,36047,2000,The In Crowd
Mae Questel,9686,1989,New York Stories
Pyotr Fyodorov,16911,2008,The Inhabited Island
Ricky Jay,714,1997,Tomorrow Never Dies
Ricky Jay,29193,1997,The Spanish Prisoner
Ricky Jay,180383,2012,Deceptive Practice: The Mysteries and Mentors of Ricky Jay
Raymond Massey,43867,1937,The Prisoner of Zenda
Déborah Révy,86331,2011,Desire
Margot Kidder,1924,1978,Superman
Margot Kidder,11411,1987,Superman IV: The Quest for Peace
Josh Groban,198062,2013,Coffee Town
Ron Eldard,819,1996,Sleepers
Ron Eldard,9645,2002,Ghost Ship
Ron Eldard,11093,2003,House of Sand and Fog
Daniel Franzese,43947,2010,I Spit on Your Grave
Talulah Riley,10748,2007,St. Trinian's
Michael Ciesla,37694,2004,Proud
Padma Lakshmi,10696,2001,Glitter
Stacy Edwards,14585,1997,In the Company of Men
Paul Dooley,38717,2001,Madison
