director,release_year,movie_id,title,weighted_rating
Peyton Reed,2015,102899,Ant-Man,6.87285852432251
Peyton Reed,2008,10201,Yes Man,6.293896198272705
Peyton Reed,2006,9767,The Break-Up,5.864142894744873
Peyton Reed,2000,1588,Bring It On,5.984204292297363
Luis Llosa,1997,9360,Anaconda,5.551612377166748
Luis Llosa,1994,2636,The Specialist,5.9473114013671875
Phil Claydon,2009,18238,Lesbian Vampire Killers,6.002474784851074
Andy Fickman,2015,256961,Paul Blart: Mall Cop 2,5.687077522277832
Andy Fickman,2012,88042,Parental Guidance,6.022651672363281
Andy Fickman,2010,38303,You Again,6.06743049621582
Andy Fickman,2009,13836,Race to Witch Mountain,5.8875885009765625
Andy Fickman,2007,13680,The Game Plan,6.064513206481934
Andy Fickman,2006,9655,She's the Man,6.219558238983154
Adrian Lyne,2002,2251,Unfaithful,6.139497756958008
Adrian Lyne,1987,10998,Fatal Attraction,6.211264133453369
Adrian Lyne,1986,10068,Nine 1/2 Weeks,6.047605514526367
Adrian Lyne,1983,535,Flashdance,6.094908714294434
James Wong,2009,14164,Dragonball Evolution,5.055088043212891
James Wong,2006,9286,Final Destination 3,5.945514678955078
James Wong,2001,10796,The One,5.970186233520508
James Wong,2000,9532,Final Destination,6.274146556854248
Sidney Lumet,2006,9950,Find Me Guilty,6.144466876983643
Sidney Lumet,1997,61337,Critical Care,6.093367576599121
Sidney Lumet,1982,24226,The Verdict,6.2503485679626465
Sidney Lumet,1978,24961,The Wiz,6.082281112670898
Sidney Lumet,1976,10774,Network,6.550134181976318
Sidney Lumet,1957,389,12 Angry Men,7.534764766693115
Ben Garant,2007,10090,Reno 911!: Miami,6.0588555335998535
Seth Gordon,2013,109431,Identity Thief,5.781674385070801
Seth Gordon,2011,51540,Horrible Bosses,6.379474639892578
Seth Gordon,2008,12193,Four Christmases,5.88975191116333
Marius Markevicius,2012,84318,The Other Dream Team,6.099151134490967
Sam Mendes,2015,206647,Spectre,6.263461589813232
Sam Mendes,2012,37724,Skyfall,6.809655666351318
Sam Mendes,2009,19255,Away We Go,6.193188190460205
Sam Mendes,2008,4148,Revolutionary Road,6.368478775024414
Sam Mendes,2005,25,Jarhead,6.318143844604492
Sam Mendes,2002,4147,Road to Perdition,6.731620788574219
Sam Mendes,1999,14,American Beauty,7.494424343109131
Marilyn Agrelo,2005,14358,Mad Hot Ballroom,6.102461338043213
Juraj Jakubisko,2008,15208,Bathory: Countess of Blood,6.0778584480285645
Jerry Zucker,2001,9896,Rat Race,6.060582160949707
Jerry Zucker,1995,6520,First Knight,6.045968532562256
Jerry Zucker,1990,251,Ghost,6.563350677490234
Jerry Zucker,1980,813,Airplane!,6.625125408172607
Eldar Rapaport,2011,86549,August,6.094948768615723
John Guillermin,1984,24264,Sheena,6.068787097930908
Dan Zukovic,1998,55180,The Last Big Thing,6.093014717102051
Herb Freed,1981,27420,Graduation Day,6.068787097930908
Damien Dante Wayans,2009,21724,Dance Flick,5.997262001037598
Dean DeBlois,2014,82702,How to Train Your Dragon 2,7.244545936584473
John Cameron Mitchell,2010,27585,Rabbit Hole,6.211726188659668
John Cameron Mitchell,2006,1378,Shortbus,6.119636058807373
John Cameron Mitchell,2001,13403,Hedwig and the Angry Inch,6.193917274475098
Robert Towne,1998,22256,Without Limits,6.095378398895264
Louis Leterrier,2013,75656,Now You See Me,7.120474815368652
Louis Leterrier,2010,18823,Clash of the Titans,5.748208045959473
Louis Leterrier,2008,1724,The Incredible Hulk,6.098386764526367
Louis Leterrier,2005,9335,Transporter 2,6.149346351623535
Louis Leterrier,2005,10027,Unleashed,6.2710089683532715
Louis Leterrier,2002,4108,The Transporter,6.416703224182129
Doug McHenry,1991,16096,House Party 2,6.063448905944824
Jay Levey,1989,11959,UHF,6.1448283195495605
Soi Cheang,2016,381902,The Monkey King 2,6.09102725982666
Gia Coppola,2014,192132,Palo Alto,6.1749653816223145
Martin Ritt,1970,42345,The Molly Maguires,6.090133190155029
Martin Ritt,1963,24748,Hud,6.183882713317871
Ken Loach,2006,1116,The Wind That Shakes the Barley,6.232596397399902
Todd Phillips,2011,45243,The Hangover Part II,6.178220748901367
Todd Phillips,2010,41733,Due Date,6.161301136016846
Todd Phillips,2009,18785,The Hangover,7.051188945770264
Todd Phillips,2006,9842,School for Scoundrels,6.042130947113037
Todd Phillips,2004,9384,Starsky & Hutch,5.8951215744018555
Todd Phillips,2003,11635,Old School,6.276053428649902
Todd Phillips,2000,9285,Road Trip,6.023504257202148
Michael Haneke,2012,86837,Amour,6.507343769073486
Michael Haneke,2009,37903,The White Ribbon,6.325766086578369
Michael Haneke,2007,8461,Funny Games,6.1682047843933105
Eric Bugbee,2015,354624,Heroes of Dirt,6.093305587768555
Tom McLoughlin,1986,10225,Friday the 13th Part VI: Jason Lives,6.0210041999816895
Camille Delamarre,2015,287948,The Transporter Refueled,5.764348030090332
Camille Delamarre,2014,254473,Brick Mansions,5.939631462097168
Dan O'Bannon,1985,10925,The Return of the Living Dead,6.356101036071777
John Whitesell,2011,38322,"Big Mommas: Like Father, Like Son",5.898097515106201
John Whitesell,2006,9969,Deck the Halls,5.991929054260254
John Whitesell,2006,11565,Big Momma's House 2,5.899909973144531
John Whitesell,2003,13411,Malibu's Most Wanted,5.989748954772949
John Whitesell,2001,39180,See Spot Run,6.036570072174072
John Michael McDonagh,2011,67913,The Guard,6.29081916809082
Gary Sherman,1988,10306,Poltergeist III,5.912181377410889
Kenneth Lonergan,2011,44754,Margaret,6.093856334686279
Kenneth Lonergan,2000,14295,You Can Count on Me,6.152702808380127
Mark Waters,2011,58224,Mr. Popper's Penguins,5.9205732345581055
Mark Waters,2008,8204,The Spiderwick Chronicles,6.170528888702393
Mark Waters,2005,9007,Just Like Heaven,6.246410846710205
Mark Waters,2004,10625,Mean Girls,6.664068222045898
Mark Waters,2003,10330,Freaky Friday,6.048683166503906
Mark Waters,2001,24940,Head Over Heels,6.037189960479736
Tom Dey,2010,38579,Marmaduke,5.946281433105469
Tom Dey,2006,6877,Failure to Launch,5.9189839363098145
Tom Dey,2000,8584,Shanghai Noon,6.139598369598389
Maggie Carey,2013,129139,The To Do List,5.93734073638916
Kim Jee-woon,2013,76640,The Last Stand,5.869519233703613
Kim Jee-woon,2008,15067,"The Good, The Bad, The Weird",6.261961936950684
Rania Attieh,2014,289180,H.,6.094995021820068
Martin Brest,2003,8046,Gigli,5.83958625793457
Martin Brest,1998,297,Meet Joe Black,6.53265905380249
Martin Brest,1988,9013,Midnight Run,6.313350200653076
Martin Brest,1984,90,Beverly Hills Cop,6.447021007537842
Charles Matthau,2012,168027,Freaky Deaky,6.071320533752441
Jonathan Dayton,2006,773,Little Miss Sunshine,6.989973545074463
Peter MacDonald,1988,1370,Rambo III,5.928732395172119
Keenen Ivory Wayans,2006,9072,Little Man,5.923590183258057
Keenen Ivory Wayans,2004,12153,White Chicks,6.178986549377441
Keenen Ivory Wayans,2001,4248,Scary Movie 2,5.742545127868652
Keenen Ivory Wayans,1994,26352,A Low Down Dirty Shame,6.090384006500244
Mitchell Altieri,2016,386826,A Beginner's Guide to Snuff,6.093305587768555
Scandar Copti,2009,24424,Ajami,6.112657070159912
Robert Altman,2006,9526,A Prairie Home Companion,6.117192268371582
Robert Altman,2001,5279,Gosford Park,6.237576961517334
Robert Altman,1996,22479,Kansas City,6.093388080596924
Philip Saville,2003,30973,The Visual Bible: The Gospel of John,6.119340896606445
Dan Ireland,1999,133575,The Velocity of Gary,6.0834856033325195
Drew Goddard,2012,22970,The Cabin in the Woods,6.378951072692871
Mark A.Z. Dippé,1997,10336,Spawn,5.809637069702148
Mark Brown,2005,51820,The Salon,6.090604305267334
Mark Brown,2001,25462,Two Can Play That Game,6.102131366729736
Jackie Chan,2011,76349,1911,6.048480033874512
Tuck Tucker,2002,17710,Hey Arnold! The Movie,6.063349723815918
Kevin Lima,2007,4523,Enchanted,6.398205757141113
Kevin Lima,2000,10481,102 Dalmatians,5.848883628845215
Cédric Klapisch,2002,1555,The Spanish Apartment,6.290187835693359
Cédric Klapisch,1996,11956,When the Cat's Away,6.093415260314941
Robert B. Weide,2008,13092,How to Lose Friends & Alienate People,6.114945888519287
Kevin Sullivan,1985,17663,Anne of Green Gables,6.232794761657715
Heidi Ewing,2010,43942,Freakonomics,6.111638069152832
Donald Petrie,2009,23049,My Life in Ruins,6.04630184173584
Donald Petrie,2006,10025,Just My Luck,5.993986129760742
Donald Petrie,2004,16784,Welcome to Mooseport,6.024363040924072
Donald Petrie,2003,9919,How to Lose a Guy in 10 Days,6.190425872802734
Donald Petrie,2000,1493,Miss Congeniality,6.096656322479248
