genre,weighted_rating,movie_id,title,vote_count
Family,7.8590288162231445,129,Spirited Away,3840
Family,7.7568135261535645,150540,Inside Out,6560
Family,7.7401933670043945,105,Back to the Future,6079
Family,7.711362361907959,8587,The Lion King,5376
Family,7.574400901794434,10681,WALL·E,6296
Family,7.569281101226807,177572,Big Hero 6,6135
Family,7.503190517425537,14160,Up,6870
Family,7.474602222442627,673,Harry Potter and the Prisoner of Azkaban,5877
Family,7.4525980949401855,862,Toy Story,5269
Family,7.395944118499756,12,Finding Nemo,6122
Family,7.339935302734375,10193,Toy Story 3,4597
Family,7.330631732940674,671,Harry Potter and the Philosopher's Stone,7006
Family,7.306035995483398,585,"Monsters, Inc.",5996
Family,7.2945756912231445,674,Harry Potter and the Goblet of Fire,5608
Family,7.246805667877197,2062,Ratatouille,4369
Family,7.244545936584473,82702,How to Train Your Dragon 2,3106
Family,7.239872932434082,10191,How to Train Your Dragon,4227
Family,7.215010166168213,672,Harry Potter and the Chamber of Secrets,5815
Family,7.205808162689209,675,Harry Potter and the Order of the Phoenix,5494
Family,7.1995649337768555,767,Harry Potter and the Half-Blood Prince,5293
Family,7.194940090179443,9806,The Incredibles,5152
Family,7.165172576904297,137106,The Lego Movie,3070
Family,7.138278961181641,165,Back to the Future Part II,3829
Family,7.124207973480225,28178,Hachi: A Dog's Tale,1717
Family,7.114963054656982,109445,Frozen,5295
Family,7.113572597503662,812,Aladdin,3416
Family,7.113003253936768,10674,Mulan,2008
Family,7.1078290939331055,38757,Tangled,3330
Family,7.10146427154541,1585,It's a Wonderful Life,1076
Family,7.069248199462891,808,Shrek,4056
Family,7.0571417808532715,863,Toy Story 2,3806
Family,7.026296138763428,601,E.T. the Extra-Terrestrial,3269
Family,7.009030818939209,2493,The Princess Bride,1486
Family,6.996693134307861,10386,The Iron Giant,1436
Family,6.970186710357666,20352,Despicable Me,6478
Family,6.925389766693115,82690,Wreck-It Ralph,4570
Family,6.918216228485107,630,The Wizard of Oz,1642
Family,6.899538993835449,425,Ice Age,3857
Family,6.875901222229004,9444,Anastasia,1432
Family,6.868140697479248,10315,Fantastic Mr. Fox,1176
Family,6.849826335906982,196,Back to the Future Part III,2900
Family,6.8446173667907715,93456,Despicable Me 2,4637
Family,6.840601444244385,102651,Maleficent,4496
Family,6.814976692199707,433,Mary Poppins,1183
Family,6.813779830932617,771,Home Alone,2414
Family,6.806516170501709,14836,Coraline,1386
Family,6.80621337890625,62211,Monsters University,3528
Family,6.784339427947998,12429,Ponyo,926
Family,6.766631126403809,11688,The Emperor's New Groove,1490
Family,6.764901161193848,81188,Rise of the Guardians,1922
Family,6.7404632568359375,15121,The Sound of Music,941
Family,6.719509601593018,44826,Hugo,2141
Family,6.711495876312256,9502,Kung Fu Panda,3145
Family,6.699933052062988,9023,Spirit: Stallion of the Cimarron,831
Family,6.686784267425537,252,Willy Wonka & the Chocolate Factory,798
Family,6.675266265869141,11544,Lilo & Stitch,1314
Family,6.659968852996826,35,The Simpsons Movie,2264
Family,6.6590118408203125,788,Mrs. Doubtfire,1591
Family,6.649500846862793,2270,Stardust,1184
Family,6.643460750579834,9016,Treasure Planet,948
Family,6.630727291107178,408,Snow White and the Seven Dwarfs,1914
Family,6.624842643737793,228326,The Book of Life,755
Family,6.607738971710205,76492,Hotel Transylvania,2566
Family,6.599366188049316,756,Fantasia,808
Family,6.598177433013916,49519,The Croods,2399
Family,6.596103668212891,62177,Brave,4641
Family,6.592237949371338,9487,A Bug's Life,2303
Family,6.580347537994385,1265,Bridge to Terabithia,1113
Family,6.573048114776611,118,Charlie and the Chocolate Factory,3624
Family,6.565678596496582,10895,Pinocchio,1355
Family,6.56393575668335,14306,Marley & Me,1343
Family,6.556593418121338,34584,The NeverEnding Story,1002
Family,6.552591800689697,809,Shrek 2,2988
Family,6.548917293548584,278927,The Jungle Book,2892
Family,6.537842750549316,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2629
Family,6.527947902679443,116149,Paddington,883
Family,6.526505470275879,228161,Home,1519
Family,6.5254364013671875,150689,Cinderella,2374
Family,6.521452903747559,10501,The Road to El Dorado,858
Family,6.513316631317139,3170,Bambi,1405
Family,6.503678321838379,2280,Big,993
Family,6.499520301818848,920,Cars,3877
Family,6.497768402099609,38055,Megamind,1918
Family,6.495061874389648,49444,Kung Fu Panda 2,1880
Family,6.4889373779296875,35690,The Last Song,923
Family,6.484194278717041,953,Madagascar,3237
Family,6.47542142868042,10545,The Hunchback of Notre Dame,1129
Family,6.472904205322266,140300,Kung Fu Panda 3,1603
Family,6.4631028175354,159824,Hotel Transylvania 2,1497
Family,6.4591803550720215,10530,Pocahontas,1457
Family,6.456210136413574,12144,The Land Before Time,640
Family,6.444149494171143,11113,My Fair Lady,352
Family,6.438564777374268,44896,Rango,2051
Family,6.438281059265137,850,A Christmas Story,344
Family,6.436476707458496,926,Galaxy Quest,710
Family,6.43625545501709,10198,The Princess and the Frog,1247
Family,6.43347692489624,10865,Atlantis: The Lost Empire,1224
Family,6.419695854187012,105864,The Good Dinosaur,1736
Family,6.418400764465332,9837,The Prince of Egypt,817
Family,6.4049296379089355,879,Hook,1532
Family,6.400250434875488,950,Ice Age: The Meltdown,2951
Family,6.398205757141113,4523,Enchanted,1449
Family,6.386314868927002,7453,The Hitchhiker's Guide to the Galaxy,1315
Family,6.379251003265381,8355,Ice Age: Dawn of the Dinosaurs,2271
Family,6.377125263214111,82703,Mr. Peabody & Sherman,843
Family,6.376953601837158,533,The Curse of the Were-Rabbit,643
Family,6.3751935958862305,46195,Rio,2166
Family,6.373093128204346,4032,My Girl,428
Family,6.367151260375977,77174,ParaNorman,789
Family,6.355868339538574,22794,Cloudy with a Chance of Meatballs,1747
Family,6.347516059875488,12155,Alice in Wonderland,4645
Family,6.346813678741455,211672,Minions,4571
Family,6.3430352210998535,62214,Frankenweenie,932
Family,6.330793857574463,270946,Penguins of Madagascar,1346
Family,6.3264265060424805,2300,Space Jam,1288
Family,6.320469856262207,11836,The SpongeBob SquarePants Movie,574
Family,6.31506872177124,7443,Chicken Run,1150
Family,6.312589168548584,1667,March of the Penguins,358
Family,6.312378406524658,9036,Eight Below,542
Family,6.304940223693848,49948,Fantasia 2000,292
Family,6.303218841552734,9880,The Princess Diaries,1023
Family,6.301340103149414,170687,The Boxtrolls,668
Family,6.293704509735107,80321,Madagascar 3: Europe's Most Wanted,1808
Family,6.293663501739502,10437,The Muppet Christmas Carol,212
Family,6.291209697723389,74465,We Bought a Zoo,909
Family,6.2876296043396,126319,Ernest & Celestine,142
Family,6.2868523597717285,13187,A Charlie Brown Christmas,153
Family,6.284894943237305,26963,The Secret of Kells,181
Family,6.279112339019775,5255,The Polar Express,1474
Family,6.271783351898193,21334,Children of Heaven,112
Family,6.266453266143799,8326,Holes,383
Family,6.266175270080566,2976,Hairspray,709
Family,6.265365123748779,13156,Secondhand Lions,260
Family,6.265330791473389,41216,Legend of the Guardians: The Owls of Ga'Hoole,703
Family,6.258595943450928,116711,Epic,1121
Family,6.251238822937012,272878,Max,276
Family,6.2496747970581055,51052,Arthur Christmas,333
Family,6.248859405517578,10719,Elf,987
Family,6.248123645782471,1593,Night at the Museum,2862
Family,6.243122577667236,51162,Winnie the Pooh,258
Family,6.2430524826049805,109451,Cloudy with a Chance of Meatballs 2,915
Family,6.24090051651001,772,Home Alone 2: Lost in New York,2395
Family,6.234920978546143,14411,Sinbad: Legend of the Seven Seas,372
Family,6.232862949371338,64328,The Muppets,501
Family,6.232794761657715,17663,Anne of Green Gables,68
Family,6.228126525878906,257,Oliver Twist,274
Family,6.2268290519714355,13053,Bolt,1750
Family,6.226701259613037,18937,Quest for Camelot,190
Family,6.225717067718506,11176,The Muppet Movie,164
Family,6.223880290985107,11283,Nanny McPhee,711
Family,6.223437786102295,2454,The Chronicles of Narnia: Prince Caspian,1630
Family,6.220790386199951,1997,Two Brothers,180
Family,6.219558238983154,9655,She's the Man,671
Family,6.2184858322143555,36970,Oceans,111
Family,6.211486339569092,157841,The Young and Prodigious T.S. Spivet,232
Family,6.210022449493408,71864,The Odd Life of Timothy Green,386
Family,6.207890033721924,16523,Where the Wild Things Are,572
Family,6.202498912811279,7518,Over the Hedge,1074
Family,6.199098587036133,1788,Footloose,505
Family,6.197748184204102,36819,Time Bandits,249
Family,6.197738170623779,1088,Whale Rider,111
Family,6.197666645050049,172385,Rio 2,978
Family,6.194321632385254,10439,Hocus Pocus,471
Family,6.193380355834961,77459,A Monster in Paris,313
Family,6.191860198974609,9297,Monster House,874
Family,6.191404342651367,417859,Puss in Boots,451
Family,6.183286190032959,11904,Young Sherlock Holmes,167
Family,6.181443691253662,62837,Dolphin Tale,163
Family,6.181242942810059,17917,Oliver!,103
Family,6.179354667663574,72197,The Pirates! In an Adventure with Scientists!,374
Family,6.17833948135376,2054,Mr. Holland's Opus,113
Family,6.176314353942871,15487,The Greatest Game Ever Played,110
Family,6.173493385314941,66125,Red Dog,83
Family,6.17310905456543,158852,Tomorrowland,2846
Family,6.171820640563965,57800,Ice Age: Continental Drift,2672
Family,6.170528888702393,8204,The Spiderwick Chronicles,572
Family,6.167405128479004,23479,The Bad News Bears,97
Family,6.163107872009277,11395,The Santa Clause,489
Family,6.163048267364502,10527,Madagascar: Escape 2 Africa,1810
Family,6.160778522491455,13155,Return to Oz,120
Family,6.15862512588501,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,1514
Family,6.15636682510376,8871,How the Grinch Stole Christmas,1386
Family,6.148802280426025,9816,Save the Last Dance,352
Family,6.14851188659668,227735,Dolphin Tale 2,96
Family,6.147090435028076,67675,Glee: The Concert Movie,79
Family,6.146939277648926,19933,The Brave Little Toaster,93
Family,6.146461009979248,14624,The Ultimate Gift,78
Family,6.145854473114014,17264,The Black Stallion,59
Family,6.145791053771973,10414,The Mighty Ducks,198
Family,6.144166469573975,7450,Titan A.E.,313
Family,6.143491744995117,12227,White Fang,135
Family,6.14251708984375,11887,High School Musical 3: Senior Year,821
Family,6.141525745391846,10800,Dragon Hunters,129
Family,6.137533664703369,294272,Pete's Dragon,679
Family,6.1351542472839355,14635,The Rookie,110
Family,6.134806156158447,8981,Dear Frankie,46
