movie_id,budget,director,genres,main_cast,original_language,popularity,release_date,release_year,revenue,runtime,status,title,vote_average,vote_count,weighted_rating
1584,35000000,Richard Linklater,"['Comedy', 'Music']","['Jack Black', 'Joan Cusack', 'Mike White', 'Sarah Silverman', 'Adam Pascal']",en,43.05732345581055,2003-10-03,2003,131282949,108.0,Released,School of Rock,6.699999809265137,1414,6.454816818237305
13909,1600000,John Ford,['Western'],"['John Wayne', 'Joanne Dru', 'John Agar', 'Ben Johnson', 'Harry Carey', 'Jr.']",en,8.535178184509277,1949-10-22,1949,5400000,103.0,Released,She Wore a Yellow Ribbon,7.099999904632568,61,6.153509616851807
16096,,Doug McHenry,['Comedy'],"['Martin Lawrence', 'Christopher Martin', 'Christopher Reid', 'Paul Anthony', 'Tisha Campbell-Martin']",en,3.6735661029815674,1991-10-23,1991,,94.0,Released,House Party 2,4.699999809265137,21,6.063448905944824
9067,25000000,Rachel Talalay,"['Action', 'Comedy', 'Fantasy', 'Science Fiction']","['Lori Petty', 'Ice-T', 'Naomi Watts', 'Malcolm McDowell', 'Iggy Pop']",en,8.186936378479004,1995-03-31,1995,4064495,98.0,Released,Tank Girl,5.5,138,6.018669128417969
136797,66000000,Scott Waugh,"['Action', 'Crime', 'Drama', 'Thriller']","['Aaron Paul', 'Dominic Cooper', 'Imogen Poots', 'Rami Malek', 'Ramón Rodríguez']",en,54.81489181518555,2014-03-13,2014,203277636,130.0,Released,Need for Speed,6.099999904632568,1520,6.097410202026367
24066,1700000,Mark Illsley,"['Comedy', 'Crime']","['Steve Zahn', 'William H. Macy', 'Jeremy Northam', 'Ally Walker', 'Ron Perlman']",en,2.079124927520752,1999-12-03,1999,1943649,98.0,Released,"Happy, Texas",5.5,39,6.070120334625244
37958,75000000,Tarsem Singh,"['Fantasy', 'Action', 'Drama']","['Mickey Rourke', 'Kellan Lutz', 'Isabel Lucas', 'Henry Cavill', 'Luke Evans']",en,37.9170036315918,2011-11-10,2011,226904017,110.0,Released,Immortals,5.699999809265137,880,5.9051008224487305
43610,2160000,Tay Garnett,['Drama'],"['Greer Garson', 'Gregory Peck', 'Donald Crisp', 'Lionel Barrymore', 'Preston Foster']",en,0.18129999935626984,1945-06-01,1945,9132000,119.0,Released,The Valley of Decision,5.800000190734863,4,6.092087268829346
11194,,Kevin Macdonald,"['Documentary', 'Action', 'Adventure']","['Brendan Mackey', 'Nicholas Aaron', 'Richard Hawking', 'Ollie Ryall', 'Joe Simpson']",en,14.045886993408203,2003-09-05,2003,13885802,106.0,Released,Touching the Void,7.599999904632568,138,6.282844066619873
82695,61000000,Tom Hooper,"['Drama', 'Music', 'Romance']","['Hugh Jackman', 'Russell Crowe', 'Anne Hathaway', 'Amanda Seyfried', 'Sacha Baron Cohen']",en,48.3562126159668,2012-12-18,2012,441809770,157.0,Released,Les Misérables,7.099999904632568,1884,6.760422229766846
769,25000000,Martin Scorsese,"['Drama', 'Crime']","['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco', 'Paul Sorvino']",en,63.65424346923828,1990-09-12,1990,46836394,145.0,Released,GoodFellas,8.199999809265137,3128,7.705671787261963
18045,500000,Paul Fox,"['Horror', 'Science Fiction', 'Thriller']","['Kate Greenhouse', 'Aidan Devine', 'Gordon Currie', 'Iris Graham', 'Dov Tiefenbach']",en,1.428483009338379,2005-03-11,2005,,80.0,Released,The Dark Hours,5.5,22,6.079999923706055
9495,15000000,Alex Proyas,"['Fantasy', 'Action', 'Thriller']","['Brandon Lee', 'Rochelle Davis', 'Ernie Hudson', 'Michael Wincott', 'Bai Ling']",en,44.69010543823242,1994-05-11,1994,94000000,102.0,Released,The Crow,7.300000190734863,953,6.694759368896484
7863,,Scott Hicks,['Drama'],"['Geoffrey Rush', 'Noah Taylor', 'Armin Mueller-Stahl', 'Justin Braine', 'Sonia Todd']",en,10.396305084228516,1996-01-21,1996,,105.0,Released,Shine,7.300000190734863,131,6.238330364227295
2453,23000000,Simon Wincer,"['Action', 'Thriller']","['Mickey Rourke', 'Don Johnson', 'Chelsea Field', 'Daniel Baldwin', 'Giancarlo Esposito']",en,12.869436264038086,1991-08-23,1991,7434726,98.0,Released,Harley Davidson and the Marlboro Man,6.099999904632568,82,6.093832969665527
